Loc,Rep,Trt,Plot,TRT_COMBO,Avg Droplet Coverage(%),BAREGROUND,ACMI2,ACNE9,ACTH7,AGGL,ALAC4,ALDE,AMRE2,AMSIN,ANDI2,ANLU2,ARCU,ARLU,ARTRV,ASPU9,ASTRA,BASA3,BORAG,BRTE,CADO2,CALOC,CHDO,CHJU,CHVI8,CIUN,COLI2,COPA3,CRAC2,CRAT,CROC,DELPH,ELEL5,EPBR3,ERAP,ERCA8,ERCI6,ERHE2,ERMI4,ERNA10,EROV,ERPU2,ERUM,FRAT,HEUN,HYCA4,IVAX,JUNCU,JUNCU2,LASE,LECI4,LERE7,LILEL2,LILIU,LIRU4,LOCO4,LOGR,LONU2,LOTR,LUAR6,LUCA,LUPIN,LUPIN2,LUSE4,MAGR3,MEAL6,MEBU,MINU,NEST5,PHHA,PHHE2,PHLO2,POBU,POSE,PSSP6,PUTR2,SEIN2,SIAL2,TRDU,TRIFO,VINU2,ZIPA2
H6,2,5,606,HEL_INDAZ_IMAZ_1,4.644,38,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
H6,3,5,706,HEL_INDAZ_IMAZ_2,7.348,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0
H6,4,5,806,HEL_INDAZ_IMAZ_2,7.348,38,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
H3,1,6,503,HEL_INDAZ_2,10.212,18,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
H3,2,6,603,HEL_INDAZ_2,10.212,5,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,18,0,0,0,0,0,0,0,0
H3,3,6,703,HEL_INDAZ_2,9.475,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,5,18,0,0,0,0,0,0,0,0
H3,4,6,803,HEL_INDAZ_2,9.475,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,18,0,0,0,0,0,5,0
H7,1,7,507,HEL_INDAZ_IMAZ_3,12.156,38,0,0,0,5,0,0,0,0,0,0,0,0,38,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,5,0,18,0,0,0,0,0,0
H7,2,7,607,HEL_INDAZ_IMAZ_3,12.156,18,0,0,5,5,0,0,0,0,0,0,0,0,38,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0
H7,3,7,707,HEL_INDAZ_IMAZ_3,13.319,18,0,0,5,0,0,0,0,0,0,0,0,0,63,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0
