Rep,Trt,Plot,TRT_COMBO,BGROUND,CAEX14,ERCI6,LAOC3,LASE,MADIA,MADIA2,NABR,SIAL2,TRDU,UnkCrepis,UnkThistle,BRJA,BRTE,ACMI2,AGGL,ALLIUM,AMSIN,ANLU2,ARSO2,ASTRA,BASA3,CHDO,CHJU,CIAR4,CIUN,CRAC2,CROC,ERBL,ERHE2,ERLA,EROV,ERPU2,ERTH4,ERUM,GERAN,IVAX,LIRU4,LONU2,LOTR,LUPIN,LUPIN2,LUPIN3,MACA2,PHHA,PHLO2,SEIN2,ZIPA2,ACNE9,ACTH7,CADO2,DAUN,ELEL5,LECI4,MEBU,POBU,POSE,PSSP6,UnkPoa,ARAR8,ARTRV,CHVI8,ERNA10,PUTR2,TETRA3,UnkSage,UNK1,UNK5
2,6,605,HEL_INDAZ_IMAZ_1,38,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,5,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0
3,6,705,HEL_INDAZ_IMAZ_1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0
4,6,805,HEL_INDAZ_IMAZ_1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,5,0,5,0,0,0,0,5,0,0,0,0,18,0,5,0,0,0,0,5,0,0,5,5,0,0,5,0,0,0,18,0,0,0,5,5,0,5,0,0,0,0
1,7,506,HEL_INDAZ_IMAZ_1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
2,7,606,HEL_INDAZ_IMAZ_1,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0
3,7,706,HEL_INDAZ_IMAZ_2,38,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,18,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0
4,7,806,HEL_INDAZ_IMAZ_2,38,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0
1,8,507,HEL_INDAZ_IMAZ_3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,5,0,0,18,5,0,0,18,0,0,0,0
2,8,607,HEL_INDAZ_IMAZ_3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,0,63,0,0,0,0,0,0,0
3,8,707,HEL_INDAZ_IMAZ_3,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,5,5,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,5,0,0,0,63,0,0,0,0,0,0,0
4,8,807,HEL_INDAZ_IMAZ_3,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,5,0,0,0,0,0,0,0,0,5,0
1,9,508,HEL_INDAZ_IMAZ_4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0
2,9,608,HEL_INDAZ_IMAZ_4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,5,0,0,0,5,0,0,0,0,5,0,0,18,0,0,0,18,0,0,0,18,0,0,5,5,5,0,0,0,0,5,0
3,9,708,HEL_INDAZ_IMAZ_3,,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
