UNIQUE_PLOT_ID,TRT_COMBO,Rep,Trt,Plot,BGROUND,ACMI2,ACNE9,ACTH7,AGGL,ALAC4,AMSIN,ANLU2,ARAR8,ARSO2,ARTRV,ASTRA,BASA3,BRJA,BRTE,CADO2,CATE26,CHDO,CHJU,CHVI8,CIAR4,CIUN,CRAC2,CROC,DAUN,ELEL5,ERBL,ERC16,ERHE2,ERLA,EROV,ERPU2,ERTH4,ERUM,GERAN,IVAX,LAOC3,LASE,LECI4,LIRU4,LONU2,LOTR,LUPIN,LUPIN2,LUPIN3,MACA2,MADIA,MADIA2,MEBU,NABR,NOTR2,PHHA,PHLO2,POBU,POSE,PSSP6,PUTR2,SEIN2,SIAL2,TETRA3,TRDU,UNK1,UNK5,UnkCrepis,UnkPoa,UnkSage,UnkThistle,ZIPA2
A23,AIR_INDAZ_IMAZ_1,3,15,307,18,0,0,0,5,0,0,0,0,0,0,18,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,18,5,0,0,0,0,5,0,0,0,0,0,0,0
A24,AIR_INDAZ_IMAZ_1,4,15,407,38,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,38,5,0,0,0,0,18,5,0,5,0,0,0,0
A25,AIR_INDAZ_2,1,16,104,18,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,18,0,0,5,0,0,0,0,0,5,5,0,0,18,0,0,0,18,5,0,0,0,0,0,0,0,0,5,5,63,0,0,0,0,0,18,0,0,18,0,0,0,0
A26,AIR_INDAZ_2,2,16,204,18,0,0,0,0,5,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,18,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,38,5,0,0,0,0,18,0,0,0,0,0,0,0
A27,AIR_INDAZ_3,3,16,304,38,0,0,5,0,18,0,0,5,0,0,5,0,5,5,0,0,0,5,0,0,18,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,5,18,0,0,0,0,0,0,0,0,0,5,0,38,5,0,0,0,0,5,0,0,5,0,0,0,0
A28,AIR_INDAZ_3,4,16,404B,18,0,0,0,0,5,0,0,0,0,5,5,0,5,5,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,38,0,0,0,0,0,5,0,0,0,0,0,0,0
A29,AIR_INDAZ_IMAZ_2,1,17,108,NA,0,5,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0
A30,AIR_INDAZ_IMAZ_2,2,17,208,38,0,0,0,0,0,0,0,0,18,5,0,5,5,5,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,18,0,0,0,0,0,0,0
A31,AIR_INDAZ_IMAZ_2,3,17,308,38,0,0,0,0,0,5,0,0,18,18,18,18,5,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,18,5,0,0,0,0,0,0
A32,AIR_INDAZ_IMAZ_2,4,17,408,18,0,0,0,0,0,0,0,0,18,0,18,5,0,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,5,5,18,5,0,0,0,0,38,5,0,0,0,0,0,0
