DATE,ROUTE,PLOT_NUM,P_LOCATION,CL_UNCL,T_LOCATION,GRADE_CAT,GRADE,STARS,ROUTE_TYPE,TOT_HEIGHT,ASPECT_ORD,ASPECT_DEG,ASPECT_NORTH,ASPECT_EAST,SLOPE,HEIGHT_DOWN,TAXA,Functional,Species,Abundance
28-May-19,BLOCK ROUTE,1B,BASE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,LOBE,TNYBRNCH,9
28-May-19,BLOCK ROUTE,1B,BASE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,LOBE,GRNSQB,2
28-May-19,BLOCK ROUTE,1T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,CRUST,BLBRDOT,9
28-May-19,BLOCK ROUTE,1T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,1T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,CRUST,GRNCRST,5
28-May-19,BLOCK ROUTE,1T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,CRUST,GREYBLDOT,1
28-May-19,BLOCK ROUTE,1T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,LOBE,GRNSQB,7
28-May-19,BLOCK ROUTE,1T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,LOBE,TNYBRNCH,7
28-May-19,BLOCK ROUTE,1T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,M,,Wei_controversa,2
28-May-19,BLOCK ROUTE,2B,BASE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,CRUST,BLBRDOT,9
28-May-19,BLOCK ROUTE,2B,BASE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,LOBE,TNYBRNCH,5
28-May-19,BLOCK ROUTE,2B,BASE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,LOBE,GRNSQB,2
28-May-19,BLOCK ROUTE,2B,BASE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,M,,Wei_controversa,2
28-May-19,BLOCK ROUTE,2T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,CRUST,BLBRDOT,9
28-May-19,BLOCK ROUTE,2T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,CRUST,GREYBLDOT,2
28-May-19,BLOCK ROUTE,2T,TOP,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,CRUST,GRNCRST,1
