year,plot_name,Plot_type,AFGC,AFGCSTD,AF_UNCT,BG,BGSTD,LTR,LTRSTD,PFGC,PFGCSTD,SHR,SHRSTD,TREE,TREESTD
1993,HSHG_LRC_C,HSHG,3.162790698,48.74418605,0.48744186,10.54651163,43.6744186,14.61627907,34.11627907,31.30232558,83.1627907,32.98837209,170.3837209,0,35.46511628
1993,HSHG_LRC_T,HSHG,4,22.64367816,0.226436782,14,46.3908046,14.81609195,29.4137931,34,83.35632184,27,69.87356322,0,17.26436782
1993,HSHG_T_1,HSHG,3.114942529,35.37931034,0.353793103,7.218390805,48.25287356,13.16091954,45.86206897,39.87356322,147.4712644,28.34482759,122.7931034,0,23.63218391
1993,HSHG_T_2,HSHG,4.707865169,26.31460674,0.263146067,11.28089888,32.46067416,12.93258427,27.25842697,38.15730337,89.74157303,24.49438202,91.34831461,0,13.5505618
1993,HSHG_T_6,HSHG,4,34.73863636,0.347386364,12.65909091,159.125,13,105.2159091,29.38636364,195.7840909,34.36363636,296.5568182,0,42.11363636
1993,HSHG_T_7,HSHG,4.523255814,94.90697674,0.949069767,7.418604651,43.77906977,11.93023256,38.15116279,31.40697674,135.6511628,36.70930233,183.2674419,0,26.70930233
1994,HSHG_C_1,HSHG,0.793103448,51.2183908,0.512183908,5.149425287,46.32183908,11.31034483,48.51724138,47.77011494,109.0574713,27.94252874,156.9885057,0,26.10344828
1994,HSHG_C_5,HSHG,1.790697674,25.13953488,0.251395349,12.70930233,61.1627907,13.76744186,53.96511628,36.40697674,81.34883721,28.05813953,97.88372093,0,25.08139535
1994,HSHG_C_6,HSHG,3,96.62352941,0.966235294,9.435294118,19.74117647,14,22.04705882,41.56470588,184.0117647,24.37647059,199.9294118,0,21.87058824
1994,HSHG_C_8,HSHG,3.149425287,17.67816092,0.176781609,8.298850575,48.29885057,13.2183908,44.4137931,43.81609195,70.81609195,25.74712644,87.62068966,0,18.44827586
1994,HSHG_LRC_C,HSHG,3,74.29069767,0.742906977,8.255813953,64.29069767,12.54651163,39.27906977,40.11627907,119.2209302,29.13953488,203.7906977,0,39.91860465
1994,HSHG_LRC_T,HSHG,3,50.94252874,0.509425287,16,35.66666667,16,36.33333333,39,138.045977,19.36781609,186.8390805,0,25.89655172
1994,HSHG_T_1,HSHG,1.896551724,44.5862069,0.445862069,6.264367816,29.96551724,11.26436782,21.70114943,46.88505747,189.1954023,26.18390805,179.8965517,0,35.11494253
1994,HSHG_T_2,HSHG,2.93258427,40.53932584,0.405393258,9.561797753,12.5505618,12.28089888,21.76404494,39.86516854,150.2696629,26.56179775,106.9662921,0,25.42696629
1994,HSHG_T_6,HSHG,1.715909091,41.5,0.415,7.272727273,74.34090909,10.98863636,47.80681818,47.51136364,23.46590909,25.51136364,159.1477273,0,20.70454545
1994,HSHG_T_7,HSHG,3.011627907,83.36046512,0.833604651,5.674418605,41.81395349,10.13953488,28.23255814,46.04651163,111.4651163,27.73255814,136.3953488,0,28.70930233
1995,HSHG_C_1,HSHG,4.24137931,49.17241379,0.491724138,5.609195402,69.24137931,12.44827586,78.8045977,47.68965517,171.5747126,24.54022989,147.8850575,0,29.36781609
1995,HSHG_C_5,HSHG,2.26744186,43.06976744,0.430697674,11.1744186,53.55813953,13.47674419,72.39534884,44.88372093,118.9069767,23,30.77906977,0,10.84883721
1995,HSHG_C_6,HSHG,4.376470588,28.97647059,0.289764706,7.188235294,38.05882353,14,48.11764706,42.69411765,68.30588235,25.74117647,65.94117647,0,11.95294118
1995,HSHG_C_8,HSHG,2.67816092,49.12643678,0.491264368,8.701149425,21.02298851,15.54022989,34.83908046,48.70114943,88.64367816,19.28735632,68.83908046,0,9.689655172
1995,HSHG_LRC_C,HSHG,4.930232558,52.59302326,0.525930233,5.779069767,41.6627907,11.45348837,83.62790698,48.41860465,194.7325581,19.80232558,162.8604651,0.38372093,10.47674419
1995,HSHG_LRC_T,HSHG,7,57.93103448,0.579310345,9,44.26436782,12.18390805,31.47126437,45.18390805,139.8505747,15,60.91954023,0,16.6091954
1995,HSHG_T_1,HSHG,4.735632184,56.94252874,0.569425287,5.149425287,49.40229885,11.14942529,83.1954023,52.45977011,129.0344828,19.93103448,91.36781609,0.16091954,30.68965517
1995,HSHG_T_2,HSHG,2.505617978,45.02247191,0.450224719,10.05617978,91.73033708,13.93258427,28.74157303,48.37078652,117.4719101,19.14606742,131.3033708,0,13.49438202
